Date,Real_GDP_Crore,GVA_Agriculture,GVA_Construction,GVA_Utilities,GVA_Finance_RealEstate,GVA_Manufacturing,GVA_Mining,GVA_PublicAdmin,GVA_Trade_Transport,CPI,IIP_General,WPI_All_Commodities,USD_INR_Rate,Repo_Rate,GSec_10Y_Yield,Non_Food_Credit,Nifty50_Price,Forex_Reserves_INR_Crore,Inflation_Rate_Monthly_RBI,Gross_Bank_Credit,Credit_to_Industry,Credit_to_Services,Personal_Loans,GST_Collection,Urban_Youth_Unemployment_Rate,Female_Labor_Force_Participation,Gross_Fiscal_Deficit_Percent_GDP,Gross_Fixed_Capital_Formation_Percent_GDP,Power_Consumption_KWh,Infant_Mortality_Rate,Life_Expectancy_Years,Gini_Index,HDI_Score,Expected_Years_Schooling,GNI_Per_Capita_PPP
2011-06-01,687549.32,112036.27929064243,62258.87858319486,15434.14700845043,134831.00456804642,118674.10254537371,22624.30821937196,77632.78309040166,112885.9726512434,90.3195527319882,101.2357252332855,95.51192660550456,44.7,7.25,7.779876149460808,2639595.0,5647.39990234375,6311094.66,6.41244355380225,2639595.0,1058085.0,635097.0,556393.0,1e-06,23.86521673599525,27.24418082191781,7.1363846994535525,33.95081711129779,691.2995757870711,43.731232876712326,67.81040547945206,28.8,0.6054821917808219,11.722904416465754,5305.33988080274
2011-07-01,680956.72,104749.89699891511,62685.491450939764,15451.930878722611,135497.6225231044,116183.0357115474,21438.922356978484,81205.91462519842,113085.82541759439,91.73079574342552,101.0067832637257,96.19816513761468,44.21,7.5,7.903121213005214,2659922.950819672,5482.0,6229639.942,6.354436398640537,2659922.950819672,1079517.786885246,637737.0,556948.9836065574,1e-06,23.913049524458184,27.176865753424657,7.213466666666667,33.87877746845185,693.8219226627934,43.5586301369863,67.84763835616438,28.7740157480315,0.6059753424657534,11.728871491260277,5321.4391624191785
2011-08-01,701428.5213405797,97220.63529746355,63126.32474760948,15470.307544670526,136186.4610766643,113608.93331659354,20214.02363250523,84898.15054448841,113292.3399428237,92.72696728091069,100.77020989518051,96.6348623853211,45.8,8.0,8.149611340094026,2680928.5,5001.0,6786469.959999999,6.153264233564384,2680928.5,1101665.0,640465.0,557523.5,1e-06,23.96279504340941,27.107306849315066,7.293118032786885,33.804336504177705,696.4283477677064,43.38027397260274,67.88611232876713,28.748031496062993,0.6064849315068493,11.735037468547944,5338.075086756165
2011-09-01,721900.3226811594,89691.37359601197,63567.158044279204,15488.684210618443,136875.2996302242,111034.83092163969,18989.124908031972,88590.3864637784,113498.85446805305,93.80615311318628,100.53363652663538,97.445871559633,49.02,8.0,8.149611340094026,2701934.049180328,4943.25,7471045.062000001,6.047173059709756,2701934.049180328,1123812.213114754,643193.0,558098.0163934426,1e-06,24.012011389869592,27.03774794520548,7.372769398907104,33.729895539903566,699.0347728726194,43.20191780821918,67.92458630136986,28.72204724409449,0.6069945205479452,11.741203445835616,5354.711011093151
2011-10-01,741711.7433333333,115173.95103049313,64119.0598469976,15505.925552478047,129151.93036280113,111097.46394894323,19855.215041510597,86061.65109325669,114428.58062975433,94.47026747150971,100.74877270649574,97.94495412844036,48.695,8.25,8.88,2722262.0,5326.60009765625,7524930.8705,6.012901096663168,2722262.0,1145245.0,645833.0,558654.0,1e-06,24.05832439053303,26.970432876712326,7.449851366120218,33.65785589705762,701.5571197483417,43.02931506849315,67.9618191780822,28.696062992125984,0.6074876712328767,11.747170520630135,5370.810292709589
2011-11-01,757473.0160507247,141505.94771279034,64689.358376473276,15523.74160573297,121171.11545313067,111162.18474382354,20750.17484610518,83448.62454371764,115389.29766351229,94.719310355881,100.97108009235144,98.19449541284403,52.13,8.5,8.21,2762746.475409836,4832.0498046875,8373266.564,5.829230247510173,2762746.475409836,1162101.8852459015,653943.8196721311,562447.1803278689,1e-06,24.10398263712023,26.90087397260274,7.529502732240437,33.583414932783484,704.1635448532547,42.85095890410959,68.00029315068493,28.670078740157482,0.6079972602739726,11.75333649791781,5387.446217046576
2011-12-01,772725.860615942,166988.52514727152,65241.26017919168,15540.982947592574,113447.74618570761,111224.81777112708,21616.264979583804,80919.88917319594,116319.02382521356,94.30423888192884,101.1862162722118,98.13211009174312,53.015,8.5,8.56,2801925.0,4624.2998046875,8378808.69,5.816036617533476,2801925.0,1178415.0,661793.0,566118.0,1e-06,24.145237382051985,26.833558904109587,7.606584699453552,33.51137528993754,706.685891728977,42.67835616438356,68.03752602739725,28.644094488188976,0.6084904109589041,11.75930357271233,5403.545498663014
2012-01-01,788487.1333333333,155046.3679124999,66196.10462690076,15615.202245667211,117430.42281360047,117300.99303908522,22354.073939583224,85665.60765038674,120412.43676082324,94.63629606109058,102.47619987997888,98.69357798165136,49.515,8.5,8.27,2801925.0,5199.25,7201763.641500001,5.99850075408882,2801925.0,1178415.0,661793.0,566118.0,1e-06,24.184,26.764,7.686236065573771,33.4369343256634,709.29231683389,42.5,68.076,28.618110236220474,0.609,11.76546955,5420.181423
2012-02-01,770291.614065934,143104.21067772826,67150.94907460983,15689.421543741848,121413.0994414933,123377.16830704336,23091.882899582648,90411.32612757751,124505.8496964329,95.13438182983316,103.77466787669624,99.06788990825687,49.11,8.5,8.450833333333332,2801925.0,5385.2001953125,7109851.140000001,6.024335080552547,2801925.0,1178415.0,661793.0,566118.0,1e-06,24.220279278859355,26.75646174863388,7.765887431693989,33.255581490104085,712.2152301028442,42.330601092896174,68.11182786885246,28.592125984251968,0.6095081967213115,11.76916075726776,5442.850997887978
2012-03-01,753269.9992673993,131932.51520003867,68044.19065472479,15758.852500005218,125138.8291901673,129061.3322673913,23782.091281517594,94850.8692191431,128335.17147490646,95.88151048294704,104.9893637445931,100.06605504587156,50.875,8.5,8.62,2801925.0,5295.5498046875,7662482.1625,6.021730993382708,2801925.0,1178415.0,661793.0,566118.0,1e-06,24.25371208837948,26.749409836065578,7.8404,33.08592883748408,714.9495683221884,42.17213114754098,68.14534426229507,28.566141732283466,0.609983606557377,11.772613822131149,5464.058019557377
